Sl_No.,District,Number_of_Building_2016-17,Capacity_Installed_(in_KWp)_2016-17,Number_of_Building_2017-18,Capacity_Installed_(in_KWp)_2017-18,Number_of_Building_2018-19,Capacity_Installed_(in_KWp)_2018-19,Number_of_Building_2019-20,Capacity_Installed_(in_KWp)_2019-20,Number_of_Building_2020-21,Capacity_Installed_(in_KWp)_2020-21,Number_of_Building_2021-22,Capacity_Installed_(in_KWp)_2021-22,Number_of_Building_2022-23,Capacity_Installed_(in_KWp)_2022-23
1,Bokaro,5,180,0,0,9,280,17,275,21,320,39,660,7,70
2,Chatra,3,35,22,354,2,70,20,200,17,132,33,665,11,210
3,Deoghar,1,60,11,174,1,30,11,155,12,145,14,480,6,250
4,Dhanbad,2,280,8,124,2,110,31,355,14,405,19,380,8,570
5,Dumka,8,155,14,140,20,350,14,185,10,270,18,670,1,100
6,East_Singhbhum,4,355,13,132,3,170,28,370,18,211,12,240,5,110
7,Garhwa,6,270,22,312,1,6,30,330,20,210,3,70,3,115
8,Giridih,0,0,0,0,14,360,32,525,17,155,31,495,21,470
9,Godda,2,70,1,2,17,438,17,170,9,90,13,245,9,280
10,Gumla,4,90,3,22,12,265,5,50,13,138,28,620,5,230
11,Hazaribagh,3,195,11,182,2,75,0,0,0,0,60,1370,10,320
12,Jamtara,5,105,9,196,1,20,12,120,10,150,24,280,3,80
13,Khunti,4,215,1,10,11,156,6,75,7,85,6,250,3,30
14,Koderma,1,80,4,106,11,205,8,125,9,145,6,65,2,50
15,Latehar,4,95,12,178,16,244,2,50,9,150,8,80,0,0
16,Lohardaga,1,10,5,90,2,75,8,80,8,95,11,165,2,90
17,Pakur,3,90,11,146,8,225,7,100,8,90,2,60,0,0
18,Palamu,5,140,4,8,16,417,29,320,28,301,26,480,6,195
19,Ramgarh,3,190,8,202,0,0,8,110,10,100,23,340,6,80
20,Ranchi,15,1395,22,342,7,445,39,600,30,880,103,2720,24,880
21,Sahibganj,6,200,1,10,9,185,18,265,14,225,10,160,6,120
22,"Saraikela
Kharsawan",2,20,0,0,11,360,14,155,15,226,14,140,0,0
23,Simdega,4,185,0,0,15,266,0,0,12,175,30,525,10,250
24,West_Singhbhum,4,120,24,336,10,97,10,285,12,220,36,645,24,380
