District,Latitude,Longitude,Location,Block,Capacity(In kWp),Category,Financial Year
Bokaro,23.758198,85.930047,"Community Health Centre, Bermo, Bokaro",Bermo,20,Hospital, FY 15-16
Bokaro,23.7736894,85.91232525,"Dhori Mata Church, Bermo, Bokaro",Bermo,5,Miscellaneous, FY 15-16
Bokaro,23.66316699,86.01474665,"Referral Hospital, Jainamore, Bokaro",Bokaro,10,Hospital, FY 15-16
Bokaro,23.64099316,86.15972487,"Sadar Hospital,Bokaro",Bokaro,125,Hospital, FY 15-16
Chatra,24.07757751,84.74565347,"Residencial High School, Lawalong, Simariya",Simariya,10,Educational Institution, FY 15-16
Chatra,24.2961076,84.63716322,"Residencial Primary School, Pratapur",Pratapur,10,Educational Institution, FY 15-16
Chatra,24.21292386,84.86116324,"Mandal Jail,Chatra",Chatra,15,Govt. Buildings, FY 15-16
Deoghar,24.49102496,86.6939185,Sadar Hospital,Deoghar,60,Hospital, FY 15-16
Dhanbad,23.79667309,86.4349162,Collectorate building,Dhanbad,80,Govt. Buildings, FY 15-16
Dhanbad,23.8099597,86.46346128,PMCH,Dhanbad,200,Govt. Buildings, FY 15-16
Dumka,24.23303832,87.3364959,"Eklabya Model Residential  School, Kathijoria",Shikaripara,10,Educational Institution, FY 15-16
Dumka,24.26650106,87.25227339,"Central Jail, Dumka",Dumka,25,Govt. Buildings, FY 15-16
Dumka,24.26166663,87.24996856,Dumka Commissionery,Dumka,25,Govt. Buildings, FY 15-16
Dumka,24.35057415,87.14624805,"Primary Health Centre, Jama",Jama,5,Hospital, FY 15-16
Dumka,24.2727458,87.23798502,"Residential Boys High School, Gopikander, Dumka",Gopikander,10,Educational Institution, FY 15-16
Dumka,24.23068827,87.33390627,"Residential Girls High School, Lakhikund Kadaharbil",Dumka ,10,Educational Institution, FY 15-16
Dumka,24.26774674,87.25173407,"Sadar Hospital, Dumka",Dumka,60,Hospital, FY 15-16
Dumka,24.20356603,87.36732107,"Residential 10+2 School,Indarbani",Shikaripara,10,Educational Institution, FY 15-16
PashchimiSinghbhum,22.84513081,86.23243569,"MGM Medical College, Jamshedpur",Jamshedpur ,250,Educational Institution, FY 15-16
PashchimiSinghbhum,22.56409703,86.32832271,"Residencial Boys High School, Sabar Nagar",Potka ,10,Educational Institution, FY 15-16
PashchimiSinghbhum,22.7589348,86.20139453,Sadar Hospital,Jamshedpur ,80,Hospital, FY 15-16
PashchimiSinghbhum,22.56951786,86.49609934,Sub Jail Ghatshila,Ghatshila,15,Govt. Buildings, FY 15-16
Garhwa,24.16171861,83.790157,"Collectorate Building, Garhwa",Garhwa,60,Govt. Buildings, FY 15-16
Garhwa,24.15860108,83.78875767,"District Court, Garhwa",Garhwa,110,Govt. Buildings, FY 15-16
Garhwa,23.88636354,83.7722618,"Residencial Boys High School, Kudrum, Ranka",Ranka,10,Educational Institution, FY 15-16
Garhwa,23.85904634,83.8746848,"Residencial High School, Ramkanda",Ramkanda,10,Educational Institution, FY 15-16
Garhwa,24.15917246,83.78978588,"Mandal Jail,Garhwa",Garhwa,20,Govt. Buildings, FY 15-16
Garhwa,24.1585627,83.80179408,"Sadar Hospital,Garhwa",Garhwa,60,Hospital, FY 15-16
Giridih,24.32660916,83.43070584,"Residential high school,Jamua",Jamua,10,Educational Institution, FY 15-16
